1,오늘 행운의 색은 빨간색입니다. 주어진 일에 열정적으로 임해 보세요.
2,오늘 행운의 색은 파란색입니다. 마음을 차분히 다스리세요.
3,오늘 행운의 색은 노란색입니다. 긍정의 기운이 함께할 거예요.
4,오늘 행운의 색은 분홍색입니다. 사랑과 희망의 기운이 함께할 거예요.
5,오늘 행운의 색은 보라색입니다. 창의력과 직관력이 향상되는 날이예요.
6,"오늘 행운의  숫자는 1 , 4 입니다. 좋은 일을 기대해 보세요."
7,"오늘 행운의  숫자는 2 , 6 입니다. 좋은 일을 기대해 보세요."
8,"오늘 행운의  숫자는 3 , 5 입니다. 좋은 일을 기대해 보세요."
9,"오늘 행운의  숫자는 1 , 7 입니다. 좋은 일을 기대해 보세요."
10,"오늘 행운의  숫자는 2 , 8 입니다. 좋은 일을 기대해 보세요."
11,실패를 두려워 하지 말고 지금 바로 시작하세요.
12,힘들 땐 그동안의 노력을 돌아 보며  잠시 쉬어 가세요.
13,조금 더 여유를 가지고 진정한 행복이 무엇인지 찾아 보세요.
14,"지금 바로 행동하세요, 기회는 한번 뿐 입니다."
15,당신의 끼나 실력을 발휘할 수 있는 좋은 기회가 찾아 옵니다.
16,"너무 서두르지 마세요, 때로는 성급한 행동이 화를 부를 수 있습니다. "
17,이로운 정보가 생길 수 있습니다. 주변 소식에 귀 기울여 보세요.
18,가장 소중한 보물은 가족과 사랑하는 사람들과 함께 하는 시간입니다.
19,용기있는 선택은 새로운 문을 엽니다. 도전하는 자세로 임하세요.
20,작은 변화가 큰 차이를 만듭니다. 천천히라도 시작하세요.
21,"오늘은 자신의 능력을 믿어보세요, 놀라운 결과가 기다리고 있습니다."
22,오늘은 소중한 순간들을 즐기며 보내세요. 그 안에 행운이 숨어 있습니다.
23,새로운 인연이 당신을 기다리고 있습니다. 열린 마음으로 주위를 둘러보세요.
24,지금 생각한 방법이  정답이 아닐 수 있습니다. 다시 한번 생각해 보세요.
25,예상치 못한 문제가 발생할 수 있는 날 입니다. 말과 행동에 주의하세요.
26,새로운 이성과의 만남은 좋지 않은 시기입니다. 조금 더 때를 기다리세요.
27,머지 않은 시기에 좋은 행운이 찾아 옵니다. 기회를 놓치지 않도록 잘 살피세요.
28,불가능을 가능하게 만드는 것은 당신의 결심과 노력입니다.
29,어둠이 지나면 반드시 밝은 햇빛이 비춰질 것입니다.
30,나 자신을 사랑하고 용서하는 것이 진정한 행복의 첫 걸음입니다.
31,잠시 여행을 떠나 새로운 풍경과 향기를 느껴 보세요. 몸과 마음에 위안이 될 거예요.
32,큰 꿈을 이루기 위해서는 작은 목표부터 시작하세요. 천천히 단계를 밟아 나가는 것이 좋습니다.
33,마음과 몸의 건강을 돌보는 것은 자신을 가장 소중히 여기는 방법입니다.
34,과거의 실수와 후회에 갇혀있지 마세요. 미래에 더 나은 선택을 할 수 있습니다.
35,스트레스를 허용하는 것 보다 스트레스를 해소하는 방법을 찾으세요.
36,모든 끝은 새로운 순간의 시작 입니다. 끝을 두려워 하지 마세요.
37,행복은 작은 일상의 순간들에 숨어 있습니다. 스쳐 지나가는 일상들을 소중히 여기세요.
38,인생의 여정은 모험이자 발견입니다. 새로운 경험에 주저하지 마세요.
39,미래의 미지를 두려워 하지 마세요. 그 안에는 무한한 가능성이 숨어있습니다.
40,때로는 혼자만의 시간이 필요합니다. 조용한 공간에서 내면의 평화를 발견해 보세요.
41,우연한 만남도 운명적인 의미를 가질 수 있습니다. 뜻하지 않게 만난 사람들과의 인연이 우리 인생을 더 풍요롭게 만들어 줄 수 있어요.
42,자신의 생각에 매몰되지 말아야 합니다. 주위의 조언에 귀 기울이세요.
43,미래를 예측하는 것 보다 현재에 집중하고 살아가는 것이 더욱 의미있습니다.
44,뜻하지 않은 지출이 생길 수 있습니다. 지출하기 전에 먼저 생각하고 더 가치있는 것에 투자하세요.
45,새로운 일이 생겨 바쁜 하루가 되겠습니다. 집중력을 잃지 않도록 주의하세요.
46,중요한 결정을 해야 할 시기가 다가오고 있습니다. 신중한 판단이 필요합니다.
47,당신이 꿈을 이루기 위해 노력하면 그것은 더이상 꿈이 아닙니다.
48,성공은 무한한 가능성을 믿는 것으로부터 출발합니다. 한계를 두지 마세요.
49,긍정적인 에너지는 주변 사람들에게도 영향을 미칩니다. 주변을 밝게 비추세요.
50,감사한 마음을 갖고 삶에 임하면 더 많은 행복이 찾아올 것입니다.
51,오늘은 그동안 빛을 보지 못했던 일들이 해결되는 좋은 운세입니다. 그동안 미뤄왔던 일을 조금씩 진행해 보세요.
52,오늘은 집에만 있기엔 너무 아까운 날입니다. 밖에서 활동한다면 행운이 있을 날입니다.
53,많은 근심 걱정이 있더라도 본인을 믿는다면 좋은 하루로 전화위복이 될 것입니다.
54,오늘은 잠시 멈춰서서 스스로를 되돌아보는 시간이 필요한 날입니다.
55,혹시 약속한 것이 있으신가요? 더 늦기 전에 상대방과의 신뢰를 깨뜨리지 않는 것이 중요한 날입니다.
56,오늘은 전반적으로 활력이 돌아 활기찬 하루가 될 것입니다.
57,오늘은 귀인의 도움으로 문제를 해결할 수 있는 감사한 하루입니다. 귀인이 찾아온다면 감사한 마음을 전해보세요.
58,하고 싶은 일이 있다면 주저하지 말고 과감하게 추진해 보세요. 당신의 열정이 성공을 보장해 줄 것입니다.
59,오늘은 가족과 함께 시간을 보내며 가족의 소중함을 다시 한번 느껴 보는 것이 최상의 선택입니다.
60,오늘은 대체로 좋은 날입니다. 그러나 작은 행복을 찾으려는 노력을 더 한다면 더 행복한 하루가 될 것입니다.
61,"가만히 시간을 흘려보내기보단, 생산적인 활동을 한다면 더 좋아질 하루입니다."
62,오늘은 가족의 행복에 신경을 써야 만사가 평안할 것입니다.
63,내 주위 소중한 사람들 간의 애정을 돈독히 쌓으면 행복이 두 배가 될 것입니다.
64,안락한 가정은 행복의 근원입니다. 오늘 가족의 안부를 묻고 사랑을 나눈다면 행복이 배가 될 것입니다.
65,오늘은 그동안 세워놨던 치밀한 계획을 실행하게 되어 바쁘게 흘러가는 하루가 될 것입니다.
66,오늘은 힐링하는 것은 어떤가요? 더 힘찬 도약을 위해서는 한 걸음 뒤로 물러설 수 있는 용기가 필요합니다.
67,마음이 혼란스럽다면 본인을 위한 선물을 해보는 것은 어떤가요? 자기 자신에게 사랑과 관심을 쏟는다면 더 좋은 하루가 될 것입니다.
68,"오늘은 활발한 활동을 하게 되는 날이지만, 집중력이 흐트러질 수 있습니다. 건강한 흐름에는 여백의 미가 필요한 법입니다."
69,혼자서 문제를 해결하려 하기보다 모든 이에게 도움을 구하려는 겸손한 자세로 임한다면 더 좋은 결과가 찾아올 것입니다.
70,오늘은 당신의 넓은 마음에 다른 사람들이 덕을 볼 하루입니다. 선의로 관용을 베푼다면 주위 사람들에게 긍정적으로 작용할 것입니다.
71,중요한 결정을 내려야 한다면 심사숙고하는 것도 좋습니다. 섣부른 판단은 오히려 독이 될 수 있는 하루입니다.
72,사랑하는 사람이 있다면 당신의 마음을 전해보세요. 긍정의 화답이 돌아올 행운의 날입니다.
73,오늘은 좋은 결실을 이루기 좋은 하루입니다. 고된 일이 있더라도 끝까지 해보세요. 좋은 결과가 기다리고 있을 것입니다.
74,오늘은 내가 가지고 있는 모든 능력과 열정을 쏟아부으면 상상 이상의 좋은 결과가 있을 좋은 날입니다.
75,마음먹은 일은 끝가지 해내는 용기와 믿음이 필요한 하루입니다. 당신의 수고는 결코 헛되지 않을 것입니다.
76,"오늘 아침은 조금 피곤할 수 있겠지만, 저녁으로 가면서 서서히 운이 좋아지는 하루입니다."
77,그동안 잘 안 풀려서 미뤄 왔던 일이 있다면 해결하기 아주 좋은 날입니다.
78,그동안 바라왔던 소망이 있다면 오늘 이룰 수 있는 아주 좋은 날입니다.
79,오늘은 업무적인 것보다는 본인에게 정서적으로 기쁨을 줄 수 있는 개인생활에 치중하는 것이 좋을 하루입니다.
80,당신의 좋은 기운이 당신 주변 사람들에게 도움을 줄 수 있는 좋은 날입니다. 
81,잘 안 풀리는 것에 무턱대고 시도하기보다는 오늘은 일단 한 걸음 물러서 관망해 보는 것을 추천드립니다.
82,오늘은 기분 좋은 일이 생기고 정신적으로 풍요로우며 사랑하는 사람에게 사랑받는 날이 될 확률이 높습니다.
83,지금 잘 안 풀리는 일이 누군가의 도움을 받아 쉽게 풀릴 수 있는 하루입니다. 자신 있게 진행해 보도록 하세요.
84,오늘은 생각대로 일이 잘 안 풀릴 수 있습니다. 하지만 그동안 갈고닦은 실력으로 전화위복할 수 있는 날입니다.
85,오늘은 지출이 많아질 수 있는 날입니다. 정말로 필요한 것인지 다시 한번 되돌아보는 절제와 인내가 필요합니다.
86,오늘은 너무 바빠 집중력이 흐트러질 수 있는 하루입니다. 적절한 휴식을 취하는 것을 권해드립니다.
87,오늘은 기분 전환이 필요한 하루입니다. 새로운 일을 추진하는 것도 좋지만 한 발자국 물러서 주변을 살피는 것도 좋을 것입니다.
88,오늘은 당신이 원하는 것을 얻을 수 있는 하루입니다. 하지만 아무런 노력도 하지 않는 사람에게는 주어지는 것이 없습니다.
89,욕심을 부리다가 자칫 일이 더 꼬이게 될 수 있습니다. 조급해하지 말고 순리를 지키는 것이 좋을 하루입니다.
90,한 가지 일에 몰두하지 못한다면 아무것도 얻지 못하는 하루가 될 수 있습니다. 작은 일부터 하나씩 해결하는 지혜가 필요합니다.
91,조급한 마음이 들더라도 여유를 가지고 생활한다면 더 좋은 결과가 당신을 기다리고 있을 것입니다.
92,분위기에 들떠서 자신의 본문을 잊는다면 미래에 일이 배로 불어나 있을 것입니다. 자신의 일을 묵묵히 해나가는 것이 중요합니다.
93,"오전에는 먹구름이 낀 듯 피곤할 수 있겠지만, 오후에는 차차 흐름이 좋아질 것입니다. 행운을 빕니다."
94,상대방에게 너무 큰 기대를 한다면 오히려 더 큰 실망으로 낙심할 수 있습니다. 많은 것을 바라지 않으면 좋을 하루입니다.
95,당신의 호기심을 믿고 새로운 것에 도전해 본다면 더 좋은 결과가 기대되는 날입니다.
96,"지금은 무기력하고 피곤하여 힘드시겠지만, 게으름 피우지 않는다면 당신에게 배로 보상이 있을 것입니다."
97,당신이 먼저 나서서 일을 처리한다면 당신에 대한 좋은 인상을 남기는 계기가 되어 큰 인덕을 보게 될 것입니다.
98,최선을 다하지 않는다면 기회가 찾아와도 잡지 못할 수 있습니다. 작은 일이라도 마땅히 해야 할 일에 최선을 다하시길 바랍니다.
99,마음의 문을 열어 상대방의 의견에 경청한다면 많은 이들이 당신에게 호감을 살 것입니다.
100,오늘은 충동적인 지출이 있을 수 있습니다. 자신의 경제적인 상황을 잘 파악하는 것이 중요합니다.
